system:time_start,0000fc5d80d142a737b2,000067e9bdc800f00b55,0000f4bfbe9ee9bc3761,0000522a49b1cdcad27e,0000e724d15f6831f1ce,0000c936d4f2b4b5fb00,0000115cd7607c7ec524,0000837cedb59eebbde4,0000a8ce1382a1179d5b,0000a3e14e97ec4bc7b8,0000f98ac8f249797631,00002e0b815eddf8d42f,0000b0eb40ab789425de,000052224b63387730e8,00005109eb1eb7c86c84,00005670fd42c8e8a6c7,000065eebe7c1d6b1ee7,0000b9a492663eeb40ea,00002ebd0275ef1f7cae,0000c652b15ab8c2e2bb,0000f2ce71d746b92ccf,0000f6ab9b66bcf65e70,000087ce640293834581,00000a9b39f9d3562ac1,00002ce78a74bb1ae389,000038989f78d02e9979,00009ba6e7498af0e2a3,0000bf5b0edbfb469009,00000060369e180f4f5c,00006836419b96faaa68,000023b3e3eb8cbfba38,00006ffdeb866d7b0cd8,000032f4d417c1ab98ae,000032569adacbe31fe6,00000008a52e9bfbc2c9,00009bde313d48b618bd,00006aee547e1fd92683,0000d1ed31757172d107,000048a9c75ca47db879,00005b9fb242a26e1d3e,0000557b585d42503e01,00007c49210745ce4b90,00004e03259356a68320,0000fd4d5ae5aa759be7,0000fd3afacabfaf5ece,0000914e0ec243d17409,00006a2a1fc94d5157fd,0000cf859a816fd1db16,000081d0e82a5d41504e,0000a71833450f81d285
"Sep 7, 2021",0.722,0.741,0.727,0.699,0.731,0.759,0.719,0.704,0.739,0.749,0.749,0.698,0.642,0.718,0.695,0.483,0.645,0.694,0.645,0.44,0.688,0.727,0.647,0.69,0.624,0.705,0.726,0.664,0.686,0.763,0.662,0.57,0.696,0.516,0.537,0.636,0.726,0.189,0.66,0.499,0.778,0.186,0.716,0.713,0.772,0.72,0.736,0.8,0.772,0.72
"Sep 7, 2021",,,,,,,,,,,,,,,,,,0.694,0.645,0.44,0.688,0.727,0.647,0.691,0.624,0.705,0.726,0.664,0.686,,,,0.725,0.516,0.537,0.636,0.726,,,,,,,,,,,,,
"Sep 9, 2021",0.707,0.735,0.716,0.719,0.724,0.755,0.728,0.687,0.726,0.738,0.737,0.671,0.621,0.71,0.694,0.456,0.636,0.667,0.533,0.351,0.684,0.643,0.589,0.683,0.583,0.707,0.724,0.575,0.589,0.697,0.609,0.526,0.707,0.511,0.569,0.598,0.615,0.172,0.538,0.486,0.771,0.171,0.707,0.7,0.764,0.714,0.729,0.794,0.798,0.711
"Sep 9, 2021",,,,,,,,,,,,,,,,,,0.667,0.533,0.351,0.684,0.643,0.589,0.683,0.583,0.707,0.724,0.575,0.589,,,,0.715,0.511,0.569,0.598,0.615,,,,,,,,,,,,,
"Sep 14, 2021",0.55,0.441,0.613,0.673,0.594,0.709,0.708,0.585,0.689,0.7,0.714,0.537,0.51,0.454,0.595,0.31,0.518,0.355,0.295,0.251,0.379,0.23,0.406,0.414,0.395,0.641,0.635,0.339,0.37,0.46,0.393,0.367,0.63,0.415,0.459,0.309,0.22,0.113,0.252,,0.634,0.153,0.555,0.622,0.662,0.43,0.568,0.766,0.713,0.639
"Sep 14, 2021",,,,,,,,,,,,,,,,,,0.355,0.295,0.251,0.379,0.23,0.406,0.383,0.395,0.641,0.635,0.339,0.37,,,,0.648,0.415,0.459,0.309,0.22,,,,,,,,,,,,,
"Oct 2, 2021",0.447,0.713,0.49,0.704,0.722,0.737,0.702,0.674,0.712,0.716,0.723,0.364,0.32,0.5,0.674,0.202,0.336,0.367,0.201,0.207,0.402,0.233,0.331,0.419,0.288,0.664,0.671,0.271,0.257,0.3,0.303,0.267,0.443,0.258,0.27,0.215,0.24,0.15,0.255,0.444,0.741,0.149,0.44,0.433,0.75,0.443,0.523,0.771,0.769,0.435
"Oct 2, 2021",,,,,,,,,,,,,,,,,,0.367,0.201,0.207,0.402,0.233,0.331,0.421,0.288,0.664,0.671,0.271,0.257,,,,0.44,0.258,0.27,0.215,0.24,,,,,,,,,,,,,
"Oct 7, 2021",0.395,0.706,0.419,0.702,0.72,0.725,0.678,0.669,0.706,0.706,0.715,0.32,0.293,0.416,0.655,0.229,0.314,0.316,0.193,0.206,0.319,0.207,0.281,0.328,0.273,0.647,0.657,0.25,0.239,0.286,0.279,0.253,0.335,0.257,0.248,0.223,0.239,0.155,0.243,0.441,0.728,0.156,0.351,0.34,0.186,0.366,0.438,0.197,0.242,0.322
"Oct 7, 2021",,,,,,,,,,,,,,,,,,0.316,0.193,0.206,0.319,0.207,0.281,0.326,0.273,0.647,0.657,0.25,0.239,,,,0.327,0.257,0.248,0.223,0.239,,,,,,,,,,,,,
