system:time_start,ndvi
"Jan 10, 2017",0.001
"Jan 10, 2017",0.001
"Jan 20, 2017",
"Jan 20, 2017",
"Jan 30, 2017",0.002
"Jan 30, 2017",0.002
"Feb 9, 2017",0.045
"Feb 9, 2017",0.045
"Feb 16, 2017",0.127
"Feb 16, 2017",0.127
"Mar 1, 2017",0.187
"Mar 1, 2017",0.187
"Mar 8, 2017",
"Mar 21, 2017",0.295
"Mar 28, 2017",0.338
"Mar 28, 2017",0.338
"Mar 31, 2017",0.424
"Mar 31, 2017",0.424
"Apr 27, 2017",0.564
"Apr 27, 2017",0.564
"Apr 30, 2017",0.562
"Apr 30, 2017",0.562
"May 7, 2017",0.611
"May 7, 2017",0.611
"May 17, 2017",0.709
"May 17, 2017",0.709
"May 30, 2017",0.698
"May 30, 2017",0.698
"Jun 19, 2017",
"Jun 26, 2017",0.189
"Jun 26, 2017",0.189
"Jun 29, 2017",0.174
"Jun 29, 2017",0.174
"Jul 1, 2017",0.17
"Jul 1, 2017",0.17
"Jul 6, 2017",0.131
"Jul 6, 2017",0.131
"Jul 11, 2017",0.113
"Jul 11, 2017",0.113
"Jul 14, 2017",0.102
"Jul 14, 2017",0.102
"Jul 16, 2017",0.107
"Jul 21, 2017",0.103
"Jul 21, 2017",0.103
"Jul 24, 2017",0.099
"Jul 24, 2017",0.099
"Jul 26, 2017",0.098
"Jul 26, 2017",0.098
"Jul 31, 2017",0.113
"Jul 31, 2017",0.113
"Aug 3, 2017",0.106
"Aug 3, 2017",0.106
"Aug 5, 2017",0.098
"Aug 5, 2017",0.098
"Aug 8, 2017",0.095
"Aug 8, 2017",0.095
"Aug 13, 2017",0.1
"Aug 13, 2017",0.1
"Aug 20, 2017",0.129
"Aug 20, 2017",0.129
"Aug 23, 2017",0.123
"Aug 23, 2017",0.123
"Aug 25, 2017",0.049
"Aug 25, 2017",0.049
"Aug 28, 2017",
"Sep 7, 2017",0.092
"Sep 9, 2017",0.096
"Sep 9, 2017",0.096
"Sep 12, 2017",0.096
"Sep 12, 2017",0.096
"Sep 14, 2017",0.102
"Sep 14, 2017",0.102
